City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,26.21,75,0,7.11,PF,1674528414
1,busselton,-33.65,115.3333,28.76,41,21,5.03,AU,1674528414
2,dumas,35.8656,-101.9732,3.08,48,100,3.09,US,1674528415
3,tuktoyaktuk,69.4541,-133.0374,-28.0,76,20,4.12,CA,1674528291
4,lebu,-37.6167,-73.65,16.8,96,100,3.93,CL,1674528471
5,nautla,20.2167,-96.7833,19.66,86,96,2.62,MX,1674528471
6,kobyli,48.9329,16.8916,4.39,93,100,5.89,CZ,1674528417
7,bandarbeyla,9.4942,50.8122,24.02,66,70,7.53,SO,1674528472
8,saint-philippe,-21.3585,55.7679,22.77,83,100,4.26,RE,1674528417
9,kapaa,22.0752,-159.319,26.99,79,40,2.57,US,1674528418
10,dakar,14.6937,-17.4441,20.07,88,0,0.0,SN,1674528418
11,mataura,-46.1927,168.8643,20.81,35,9,1.99,NZ,1674528419
12,bethel,41.3712,-73.414,1.68,80,100,3.09,US,1674528419
13,port elizabeth,-33.918,25.5701,22.16,85,0,10.29,ZA,1674528419
14,henties bay,-22.116,14.2845,18.24,86,100,4.29,NA,1674528420
15,vestmannaeyjar,63.4427,-20.2734,5.26,91,100,11.88,IS,1674528420
16,albany,42.6001,-73.9662,-0.76,83,69,0.89,US,1674528006
17,ponta do sol,32.6667,-17.1,16.35,68,13,2.95,PT,1674528421
18,barrow,71.2906,-156.7887,-21.99,84,100,7.2,US,1674528421
19,puerto ayora,-0.7393,-90.3518,23.64,97,89,1.34,EC,1674528422
20,hilo,19.7297,-155.09,25.14,86,33,1.79,US,1674528138
21,torbay,47.6666,-52.7314,1.43,96,100,13.38,CA,1674528423
22,provideniya,64.3833,-173.3,-14.94,61,40,7.0,RU,1674528424
23,azad shahr,34.7909,48.5707,-6.73,93,76,0.0,IR,1674528424
24,carnarvon,-24.8667,113.6333,27.33,62,75,5.72,AU,1674528425
25,hofn,64.2539,-15.2082,2.65,93,100,7.14,IS,1674528425
26,adrar,20.5022,-10.0711,16.49,16,0,4.18,MR,1674528426
27,pevek,69.7008,170.3133,-28.05,83,75,0.88,RU,1674528426
28,tasiilaq,65.6145,-37.6368,-6.91,65,100,2.37,GL,1674528427
29,lonevag,60.5262,5.4937,6.31,98,100,2.85,NO,1674528427
30,saint george,37.1041,-113.5841,4.13,44,0,3.09,US,1674528225
31,belyy yar,53.6039,91.3903,-17.86,72,100,0.0,RU,1674528428
32,san carlos del zulia,9.0,-71.9135,24.9,83,100,0.55,VE,1674528428
33,saskylakh,71.9167,114.0833,-22.16,82,100,1.63,RU,1674528429
34,punta arenas,-53.15,-70.9167,10.06,57,0,10.29,CL,1674528430
35,pandan,14.0453,124.1694,26.25,83,52,6.08,PH,1674528430
36,talara,-4.5772,-81.2719,23.42,73,0,6.17,PE,1674528150
37,camacha,33.0833,-16.3333,13.68,63,40,5.14,PT,1674528431
38,glasgow,55.8652,-4.2576,8.88,87,100,1.54,GB,1674528184
39,ushuaia,-54.8,-68.3,8.81,87,75,1.03,AR,1674528322
40,butaritari,3.0707,172.7902,27.12,78,53,7.73,KI,1674528431
41,nikolskoye,59.7035,30.7861,-4.06,92,99,4.06,RU,1674528432
42,hermanus,-34.4187,19.2345,17.9,80,0,6.53,ZA,1674528432
43,east london,-33.0153,27.9116,22.98,83,27,6.46,ZA,1674528156
44,grindavik,63.8424,-22.4338,4.97,93,75,12.35,IS,1674528433
45,jamestown,42.097,-79.2353,-0.25,68,100,8.23,US,1674528265
46,new norfolk,-42.7826,147.0587,24.39,40,16,0.89,AU,1674528540
47,port hardy,50.6996,-127.4199,5.1,100,100,3.6,CA,1674528540
48,dali,25.7,100.1833,11.28,34,0,1.71,CN,1674528419
49,dandong,40.1292,124.3947,-18.04,44,42,6.96,CN,1674528541
50,codrington,-38.2667,141.9667,21.8,62,98,5.64,AU,1674528541
51,ende,-8.8432,121.6623,29.35,69,96,2.11,ID,1674528541
52,qaanaaq,77.484,-69.3632,-24.42,70,94,3.22,GL,1674528542
53,la carolina,38.2756,-3.6153,-2.17,89,13,2.35,ES,1674528542
54,rayong,12.8333,101.4333,33.12,35,52,5.78,TH,1674528543
55,esperance,-33.8667,121.9,26.47,45,0,4.2,AU,1674528543
56,vaini,-21.2,-175.2,31.09,74,40,2.57,TO,1674528544
57,karasjok,69.4719,25.5112,-8.31,83,32,4.74,NO,1674528544
58,najran,17.4924,44.1277,12.36,39,1,0.94,SA,1674528321
59,clyde river,70.4692,-68.5914,-35.87,68,40,1.03,CA,1674528545
60,bredasdorp,-34.5322,20.0403,16.45,76,0,3.61,ZA,1674528545
61,singaraja,-8.112,115.0882,29.43,70,88,1.12,ID,1674528546
62,gamba,-2.65,10.0,25.42,84,100,0.85,GA,1674528547
63,victoria,22.2855,114.1577,16.09,59,98,8.94,HK,1674528275
64,bluff,-46.6,168.3333,13.67,59,16,5.43,NZ,1674528547
65,andenes,69.3143,16.1194,2.99,48,75,11.83,NO,1674528548
66,hobart,-42.8794,147.3294,24.59,55,20,7.2,AU,1674528503
67,axim,4.8699,-2.2405,26.22,86,66,2.67,GH,1674528549
68,broome,42.2506,-75.833,-0.64,85,100,3.6,US,1674528549
69,castro,-24.7911,-50.0119,16.7,95,56,1.73,BR,1674528417
70,maralal,1.0968,36.698,14.7,68,78,2.45,KE,1674528550
71,richards bay,-28.783,32.0377,21.64,94,1,4.02,ZA,1674528550
72,narsaq,60.9167,-46.05,-9.88,80,100,2.2,GL,1674528551
73,mayo,38.8876,-76.5119,5.09,64,100,5.66,US,1674528551
74,thompson,55.7435,-97.8558,-28.91,76,20,1.03,CA,1674528551
75,yerbogachen,61.2767,108.0108,-40.23,99,81,1.08,RU,1674528552
76,norman wells,65.282,-126.8329,-28.98,76,40,0.0,CA,1674528552
77,mexico,15.0646,120.7198,29.84,55,37,3.4,PH,1674528132
78,mokrousovo,55.8103,66.7653,-16.76,98,54,3.17,RU,1674528553
79,cape town,-33.9258,18.4232,19.93,77,40,7.2,ZA,1674528451
80,mar del plata,-38.0023,-57.5575,20.05,77,0,6.26,AR,1674528553
81,suwannaphum,15.6035,103.8021,25.58,55,30,11.17,TH,1674528554
82,vigrestad,58.5667,5.7,5.82,94,100,3.99,NO,1674528554
83,rypefjord,70.6333,23.6667,-0.74,100,75,15.95,NO,1674528555
84,lavrentiya,65.5833,-171.0,-26.51,95,28,5.37,RU,1674528555
85,tazovskiy,67.4667,78.7,-34.26,99,73,3.04,RU,1674528556
86,kropotkin,45.4375,40.5756,0.34,77,7,6.08,RU,1674528557
87,faanui,-16.4833,-151.75,26.05,77,100,7.56,PF,1674528557
88,cherskiy,68.75,161.3,-27.26,95,100,1.04,RU,1674528557
89,itamaraca,-7.7478,-34.8256,28.03,79,7,3.69,BR,1674528558
90,thaba-tseka,-29.522,28.6084,11.81,52,2,1.26,LS,1674528618
91,san patricio,28.017,-97.5169,17.92,68,97,7.76,US,1674528619
92,paithan,19.4833,75.3833,20.4,47,59,1.54,IN,1674528619
93,khatanga,71.9667,102.5,-42.8,97,49,2.14,RU,1674528620
94,kodiak,57.79,-152.4072,5.73,75,100,2.06,US,1674528620
95,deputatskiy,69.3,139.9,-35.79,100,95,0.61,RU,1674528620
96,matara,5.9485,80.5353,24.94,83,100,4.48,LK,1674528500
97,georgetown,5.4112,100.3354,28.96,83,20,1.03,MY,1674528621
98,husavik,66.0449,-17.3389,-2.1,62,100,3.9,IS,1674528622
99,tikhvin,59.6451,33.5294,-9.65,95,99,3.52,RU,1674528622
100,fort saint james,54.4333,-124.25,-0.88,85,94,2.8,CA,1674528623
101,mabaruma,8.2,-59.7833,21.6,96,29,1.46,GY,1674528623
102,mogadishu,2.0371,45.3438,24.73,80,93,8.62,SO,1674528623
103,yellowknife,62.456,-114.3525,-12.71,78,100,5.66,CA,1674528595
104,gat,31.61,34.7642,15.78,60,0,0.78,IL,1674528624
105,salalah,17.0151,54.0924,19.55,77,21,1.69,OM,1674528625
106,dikson,73.5069,80.5464,-23.07,84,100,15.66,RU,1674528625
107,broken hill,-31.95,141.4333,34.74,15,17,7.45,AU,1674528625
108,arraial do cabo,-22.9661,-42.0278,23.78,92,100,3.42,BR,1674528626
109,daphne,30.6035,-87.9036,8.25,87,0,0.45,US,1674528626
110,ketchikan,55.3422,-131.6461,6.99,87,75,1.54,US,1674528627
111,kosa,59.9445,54.9977,-15.9,99,95,2.1,RU,1674528627
112,sistranda,63.7256,8.834,4.98,93,100,3.38,NO,1674528627
113,panguna,-6.3164,155.4848,26.52,67,100,1.27,PG,1674528628
114,woodward,36.4337,-99.3904,1.65,67,40,2.57,US,1674528628
115,jagraon,30.7833,75.4833,14.56,55,66,2.39,IN,1674528629
116,carutapera,-1.195,-46.02,23.76,93,100,3.07,BR,1674528629
117,saldanha,-33.0117,17.9442,17.18,89,0,3.72,ZA,1674528630
118,pisco,-13.7,-76.2167,21.03,88,0,6.69,PE,1674528630
119,aden,12.7794,45.0367,24.36,69,80,7.46,YE,1674528630
120,hirara,24.8,125.2833,16.92,77,75,16.98,JP,1674528631
121,kloulklubed,7.0419,134.2556,27.18,81,100,6.27,PW,1674528631
122,tiksi,71.6872,128.8694,-35.8,100,91,1.55,RU,1674528632
123,kavieng,-2.5744,150.7967,29.41,70,90,5.04,PG,1674528632
124,shache,38.4167,77.2406,-14.46,81,16,2.05,CN,1674528633
125,atambua,-9.1061,124.8925,27.29,67,100,1.1,ID,1674528565
126,kasama,-10.2129,31.1808,15.82,95,100,2.74,ZM,1674528633
127,tecoanapa,16.5167,-98.75,24.01,75,1,1.87,MX,1674528634
128,gotsu,35.0,132.2167,-1.63,82,100,15.03,JP,1674528634
129,sao joao da barra,-21.6403,-41.0511,23.84,90,100,3.32,BR,1674528634
130,venustiano carranza,19.43,-99.0992,17.3,49,7,7.15,MX,1674528457
131,batemans bay,-35.7167,150.1833,23.39,58,79,4.77,AU,1674528461
132,grand gaube,-20.0064,57.6608,23.54,81,100,0.35,MU,1674528635
133,cravo norte,6.3017,-70.2041,26.51,53,100,2.23,CO,1674528635
134,lumphat,13.4878,106.9816,28.25,53,80,4.25,KH,1674528636
135,biu,10.6129,12.1946,19.98,20,77,2.34,NG,1674528636
136,makhachkala,42.9764,47.5024,1.99,79,11,7.53,RU,1674528637
137,tilichiki,60.4667,166.1,-16.54,94,100,5.8,RU,1674528637
